Catalogusnummer,Oudnummer
"92027","1978.175"
"92043","1978.177"
"92044","1978.179"
"92045","1978.182"
"92042","1978.183"
"92055","1978.184"
"92054","1978.185"
"92053","1978.186"
"92028","1978.191"
"92040","1978.193"
"92041","1978.194"
"92039","1978.195"
"92036","1978.196"
"92033","1978.197"
"92034","1978.198"
"92030","1978.200"
"92031","1978.201"
"92038","1978.202"
"92037","1978.203"
"92035","1978.204"
"92032","1978.205"
"5121","1979-271"
"5122","1979-272"
"5123","1979-273"
"5124","1979-274"
"5125","1979-275"
"5126","1979-276"
"5127","1979-277"
"5128","1979-278"
"5129","1979-279"
"5130","1979-280"
"5131","1979-281"
"5132","1979-282"
"5133","1979-283"
"5134","1979-284"
"5135","1979-285"
"5137","1979-286"
"5138","1979-287"
"5139","1979-288"
"5140","1979-289"
"5141","1979-290"
"5142","1979-291"
"5143","1979-292"
"5144","1979-293"
"5136","1979-294"
"5166","1979-295"
"5167","1979-299"
"5168","1979-300"
"5175","1979-301"
"5176","1979-302"
"5177","1979-303"
"5181","1979-304"
"5178","1979-306"
"5179","1979-306-1"
"5169","1979-307"
"5170","1979-308"
"5171","1979-309"
"5174","1979-310"
"5146","1979-311"
"5173","1979-312"
"5180","1979-313"
"5145","1979-314"
"5156","1979-315"
"5159","1979-316"
"5149","1979-317"
"5147","1979-318"
"5148","1979-319"
"5150","1979-320"
"5165","1979-321"
"5157","1979-322"
"5155","1979-323"
"5164","1979-324"
"5162","1979-325"
"5161","1979-326"
"5163","1979-327"
"5160","1979-328"
"5153","1979-329"
"5152","1979-330"
"5151","1979-331"
"5154","1979-332"
"5158","1979-333"
"92046","1979.043"
"6431","1979.093"
"6432","1979.094"
"6433","1979.095"
"6434","1979.098"
"92051","1979.100"
"92136","1979.119"
"5508","1979.125"
"92237","1979.129"
"12476","1979.277"
"108829","198  NEG. 03614"
"92967","1981-460"
"92968","1981-461"
"87958","1981.306"
"87959","1981.307"
"87960","1981.309"
"87925","1981.310"
"87926","1981.311"
"87974","1981.312"
"87968","1981.313"
"87973","1981.314"
"87983","1981.315"
"87970","1981.316"
"87969","1981.317"
"87902","1981.318"
"87975","1981.319"
"87978","1981.320"
"87906","1981.321"
"87907","1981.322"
"87908","1981.323"
"87914","1981.324"
"87913","1981.325"
"87911","1981.326"
"87910","1981.327"
"87909","1981.328"
"87905","1981.329"
"87919","1981.330"
"87916","1981.331"
"87927","1981.332"
"87928","1981.333"
"87915","1981.334"
