Catalogusnummer,oudnummer_1,oudnummer_2,oudnummer_3
"91466","Doos 31, nr. 65",,
"76039","T.A. U2.27.c6",,
"79488","T.A. Qb 19.4 (A)",,
"85944","Verzameling 146 (193)",,
"86490","Verzameling 219 (77)",,
"53870","T.A. Biltstraat 172 (A 9) 1984 (9)",,
"45862","D.O.W. 866 F",,
"60242","T.A. Keulsekade 143 1968 (1)",,
"42091","D.O.W. 171 C",,
"52084","Verzameling 199 (300)",,
"56830","T.A. Gageldijk 111 c. 1960 (3)",,
"79096","T.A. Rc 1.21.1",,
"80845","T.A. Kb 7.18.1",,
"46010","D.O.W. 904",,
"67020","T.A. Oudegracht 167 (Bakkerbrug-Stadhuisbrug) c. 1940 (1)",,
"66690","T.A.  Oudegracht 116-120 (Viebrug-Jansbrug) 1973",,
"55180","T.A. Catharijnesingel 101 1991 (6)",,
"24074","1.33-1.3",,
"78410","T.A. Oudegracht (bij de Bakkerbrug) 1994 (1)",,
"67817","T.A. Oudegracht 355 (Geertebrug-Volderbrug) 1988 (1)",,
"91866","Doos 67, nr. 24",,
"69467","T.A. Ridderschapsstraat 12 1988 (1)",,
"60212","T.A. Kerkweg 38-lager 1991 (1)",,
"82506","T.A. Hp 72.4",,
"73332","T.A. Waterstraat 15-23 1931",,
"88491","Doos 24, nr.36",,
"76754","T.A. V 7.17.12 (A)",,
"41342","D.O.W. 122 I",,
"52259","T.A. Jan van Arkelstraat 1964 (1)",,
"25535","Nc 14 (a)",,
"53680","T.A. Biltstraat 397/401/405/423-hoger 1979 (1)",,
"5774","Prov. Utr. Welstandscie Mon. lijst Houten 18",,
"41692","D.O.W. 144 Ak",,
"86226","Verzameling 132 (10)",,
"51190","T.A. Achter Clarenburg 1901 (1) - cat. nr. 830800 (verwijderd op 7 jan. 2019 i.v.m. doublure)",,
"86352","Verzameling 138 (41)",,
"60815","T.A. Kromme Nieuwegracht  3   c. 1956  (2)",,
"75257","T.A. Tr 22.9",,
"41944","T.A. D.O.W. 154 Ao",,
"62369","T.A. Leidseweg 132 1983 (8)",,
"45101","D.O.W. 662",,
"40283","D.O.W. 8 D",,
"92152","T.A. 2000.0424",,
"83157","T.A. G 1.6.4 (A)",,
"44174","D.O.W. 515 M",,
"89787","Doos 10, nr. 43",,
"74647","T.A. Zonnenburg 2 1987 (22)",,
"83588","T.A. F 20.4.4",,
"55461","T.A. Cremerstraat 44-hoger c. 1965 (1)",,
"93638","Prov. Utr. Welstands Cie Mon lijst Lopik 13",,
"46176","D.O.W. 945 S",,
"82389","T.A. Hx 1 (l)",,
"75326","T.A. Tt 22.11",,
"45265","D.O.W. 685 C",,
"43400","D.O.W. 368 F",,
"65253","T.A. Nieuwegracht 74-78 (Quintijnsbrug-Magdalenabrug) 1992 (1)",,
"85284","Verzameling 174",,
"79556","T.A. Qb 26.9  (C)",,
"73387","T.A.  Wed 5-7 1972 (1)",,
"51005","T.A.  Aakplein 18-hoger 1990 (1)",,
"70449","T.A. Springweg 95 1974",,
"56977","T.A. Ganzenmarkt 1953 (2)",,
"24133","31.21-6.7",,
"58990","T.A. St.-Jacobsstraat 1992 (1)",,
"85921","Verzameling 146 (170)",,
"88741","Doos 62, nr. 49",,
"65642","T.A. Nobelstraat 28-30 1988 (1)",,
"80431","T.A. Nb 31 (A)",,
"54537","T.A. Breedstraat 35 1974 (1)",,
"56094","T.A. F.C.Dondersstraat 58-lager 1975 (1)",,
"62689","T.A. Lucasbolwerk 9 1974",,
"84980","H.A. V 29.83",,
"55188","T.A. Catharijnesingel 101 1991 (14)",,
"90151","Doos 5, nr. 47",,
"53758","T.A. Biltstraat 4 1988 (1)",,
"66385","T.A. Oudegracht 16-18 (Zandbrug-Jacobibrug)  1992 (1)",,
"94801","T.A. 1817-1",,
"79707","T.A. Qa 3.17 (a)",,
"87398","Verzameling 172 (561)",,
"87894","1981.374",,
"58277","T.A. Herenstraat 2-hoger 1980 (1)",,
"78871","T.A. Rc 1.6",,
"64846","T.A. Nieuwegracht (Pausdam-Paulusbrug) 1929 (2)",,
"78433","T.A. Zr 1.8",,
"82193","T.A. Ib 4.19",,
"85260","Verzameling 174",,
"75041","T.A. Tg 22.11.1",,
"74321","T.A. Wijde Begijnestraat 112-120-122-124 1977 (1)",,
"68168","T.A. Oudenoord 9-29 1975",,
"61119","T.A. Kromme Nieuwegracht 56 1983 (3)",,
"40964","D.O.W. 67 Al",,
"85780","Verzameling 146 (29)",,
"69803","T.A. Samosdreef 1975 (1)",,
"95226","Prov. Utr. Welstands Cie Mon lijst IJsselstein 38",,
"68452","T.A. Palestrinastraat 1 c. 1950 (2)",,
"62433","T.A. Lessinglaan 1955",,
"76044","T.A. U2.27.b",,
"53374","T.A. Loeff Berchmakerstraat 36 1979 (1)",,
"63253","T.A. Maliebaan 96-lager c. 1905 (1)",,
"92914","Prov. Utr. Welstandscie Mon. lijst Loenen 91",,
"68356","T.A. Oudwijkerlaan 8 1986 (1)",,
"69106","T.A. Predikherenkerkhof tussen 9 en 13 1974",,
"5193","T.A. 1692-7",,
"56932","T.A. Gansstraat 64 1985 (1)",,
"51395","T.A. Achter Sint-Pieter 14 1975 (1)",,
"56848","T.A. Galileïlaan 15 1980 (7)",,
"67864","T.A. Oudegracht 364 (De Gesloten Steen) (Geertebrug-Volderbrug) 1941",,
"85082","Verzameling 180 (9)",,
"54024","T.A. Bloemstraat 95-lager 1979 (1)",,
"90730","Doos 48, nr. 24",,
"53871","T.A. Biltstraat 172 (A 12) c. 1960 (1)",,
"70694","T.A. Spijkerstraat  25-43  1953  (2)",,
"56229","T.A. Willem Dreeslaan 113 1977 (5)",,
"70320","T.A. Spaarnestraat 1931",,
"45119","D.O.W. 665 E",,
"54963","T.A. Catharijnekade 10 1988 (1)",,
"87374","Verzameling 172 (531)",,
"56604","T.A. Esdoornstraat 1-hoger 1989 (1)",,
"62110","T.A. Lauwerecht 135A-135B-135C-hoger 1980 (1)",,
"65154","T.A. Nieuwegracht 65 (Brigittenbrug-Quintijnsbrug) 1977 (2)",,
"55805","T.A. Doelenstraat 12 1992 (1)",,
"80124","T.A. Ne 12.3  (A)",,
"24224","15.33-6.2",,
"85059","Verzameling 175 (3)",,
"54551","T.A. Breedstraat 4 1989 (1)",,
"82672","T.A. Hm 24.3.2",,
"56450","T.A. Justus van Effenstraat 23 1974 (1)",,
"75888","T.A. T 21.7",,
"81272","T.A. Jd 2.38  (B)",,
"23492","20.4A-5.7",,
"73183","T.A. Vultostraat 120-lager   1979 (1)",,
"83263","T.A. G 1.13.7",,
"89294","Doos 69 nr.23",,
"72455","T.A. Vogelsanglaan 1 1977 (1)",,
"40450","D.O.W. 13 Ac",,
"63627","T.A.  Mariaplaats  2/2bis    1982  (1)",,
"69579","T.A. Roerstraat 1-hoger 1989 (1)",,
"83259","T.A. G 1.13.3",,
"84598","T.A. Ca 76.4.2",,
"62969","T.A. Maliebaan 31 1980 (1)",,
"72597","T.A. Voorstraat c. 1908 (1)",,
"46215","D.O.W. 956 F",,
"62389","T.A. Lekstraat 22-24 (1)",,
"58823","T.A. Van Imhoffstraat 1-hoger c. 1965 (1)",,
"70289","T.A. Laan van Soestbergen 91-95 c. 1956 (1)",,
"71023","T.A. Steenweg 70 1974",,
"85585","Verzameling 174",,
"66785","T.A.  Oudegracht 127A-129A-131-133 (Jansbrug-Bakkerbrug) 1977",,
"73018","T.A. Vredenburg c. 1980 (1)",,
"62757","T.A. Lijnmarkt 17 1987 (2)",,
"94761","T.A. Muller 964-5",,
"75818","T.A. T 18.7.1",,
"89851","Doos 55, nr. 23",,
"5537","T.A. 2312",,
"56987","T.A. Ganzenmarkt 7 1965 (1)",,
"44893","D.O.W. 623 Ak",,
"73956","T.A. Winthontlaan 8 1992 (10)",,
"84537","T.A. Ca 71.1.4",,
"93572","Prov. Utr. Welstands Cie Mon lijst Loenen 138",,
"76820","T.A. W 2.4",,
"68735","T.A. Pieterskerkhof 16-17 1974",,
"41996","T.A. D.O.W. 156 B",,
"44256","D.O.W. 539 O",,
"68661","T.A. Pernambucodreef 1973 (7)",,
"73698","T.A. Mgr. v. d. Weteringstraat 116-118 1980 (1)",,
"56032","T.A. Domstraat 6 1988 (1)",,
"82496","T.A. Hp 67.4",,
"64370","T.A. Morelstraat 1973 (2)",,
"44194","D.O.W. 524 O",,
"73232","T.A. Wagendwarstraat 15-hoger 1991 (1)",,
"80206","T.A. No 1",,
"68070","T.A. Oude Kamp 8 1982 (1)",,
"58105","T.A. Helling 38 1990 (1)",,
"86235","Verzameling 132 (19)",,
"85592","Verzameling 174",,
"57091","T.A. Geertebolwerk 1 1980 (16)",,
"65543","T.A. Laan van Nieuw Guinea 118-hoger 1989 (1)",,
"83148","T.A. G 1.5.6",,
"73824","T.A. Willemstraat 1908 (1)",,
"80165","T.A. Ni 2",,
"5771","Prov. Utr. Welstandscie Mon. lijst Houten/T..A. 2721",,
"90427","Doos 12, nr. 37",,
"45027","D.O.W. 648 J",,
"62002","T.A. Lange Viestraat 5-hoger 1977",,
"41311","D.O.W. 120 Y",,
"72368","T.A. Vleutenseweg 268-286 1984 (1)",,
"76138","T.A. U 2.90e",,
"41125","D.O.W. 90",,
"77919","T.A. Zi 12.8",,
"45852","D.O.W. 865",,
"60037","T.A. Keistraat 9 c. 1935 (2)",,
"58981","T.A. Jacobsstraat, St. 1971 (3)",,
"53487","T.A. Bethlehemweg 4-hoger c. 1965 (1)",,
"41434","D.O.W. 130 H",,
"89591","Doos 68, nr.20",,
"86225","Verzameling 132 (9)",,
"78614","T.A. Sa 3.24.1",,
"77942","T.A. Zi 15.15.2",,
"81783","T.A. Jb 5.13",,
"54073","T.A. Boisotstraat 25 1988 (3)",,
"58473","T.A. Hofpoort 4 1983 (3)",,
"58218","T.A. Herderplein 1970 (1)",,
"44904","D.O.W. 625",,
"77470","T.A. Y 21.6.2",,
"81104","T.A. Ke 4.3",,
"81447","T.A. Jc 3.13.4",,
"81022","T.A. Kb 17.1",,
"93629","Prov. Utr. Welstands Cie Mon lijst Lopik 44",,
"63810","T.A. Mariaplaats 1976 (4)",,
"81461","T.A. Jc 3.18",,
"45741","D.O.W. 840 E",,
"73781","T.A. Wilhelminapark 65 1979 (1)",,
"81300","T.A. Jd 4.4",,
"70695","T.A. Spijkerstraat 41-lager   1992 (1)",,
"90831","Doos 35, nr. 58",,
"90059","Doos 39, nr. 74",,
"70175","T.A. Servetstraat  7  1991 (1)",,
"87676","Verzameling 172 (895)",,
"73970","T.A. Wittevrouwenkade 1972 (1)",,
"42443","D.O.W. 202 Af",,
"45381","D.O.W. 723 A",,
"58804","T.A. Huurweerstraat c. 1955 (1)",,
"91576","Doos 39, nr. 5",,
"71160","T.A. Sweelinckstraat 1912",,
"68607","T.A. Pelmolenplantsoen 1983 (1)",,
"86959","Verzameling 172 (84)",,
"55732","T.A. Damestraat 11-hoger 1993 (2)",,
"45820","D.O.W. 860 Ad",,
"66246","T.A. Otterstraat c. 1965 (3)",,
"54850","T.A. Camminghaplantsoen 18 1964 (9)",,
"5540","T.A. 2403",,
